tag,claps,responses,status
google-cloud-platform',391441,4177,
cloud-computing',285925,2955,n
azure',140537,1380,
serverless',107843,790,
aws',94411,878,
kubernetes',89909,612,
devops',78969,728,
python',72164,468,
cloud',67464,634,n
docker',62336,528,
programming',61096,512,n
cloud-functions',59672,394,
technology',56625,354,n
containers',48185,278,
cloud-native',44643,276,
machine-learning',43478,526,
software-development',40392,319,n
data-science',36713,376,n
web-development',33268,410,n
deployment',31932,152,n
startup',31851,144,n
tech',31484,208,n
certification',30454,246,n
alibabacloud',30082,140,n
nodejs',29510,350,
google-cloud',28425,180,
golang',28098,144,
open-source',27646,144,n
aspnetcore',27130,130,
google',26632,352,
paas',25115,282,
cloud-sql',24650,104,
postgresql',24638,104,
artificial-intelligence',24222,184,
cloud-services',23198,209,
editors-pick',21931,288,n
tds-features',21705,285,
terraform',21530,270,
big-data',20894,166,
deep-dives',20705,244,n
,19740,212,n
azure-functions',19720,154,
javascript',19352,198,
data',19234,173,n
continuous-delivery',18752,158,
microsoft',18478,268,
gcp',18318,228,
security',17522,191,
firebase',17474,238,
api',16330,98,
compute-engine',16278,132,
cloud-build',16116,130,
microservices',15241,118,
blockchain',14710,167,
gcp-weekly',14440,228,n
g-suite',14072,50,n
office',14000,50,n
google-cloud-run',13930,86,
software-architecture',13918,30,n
0,13692,378,n
microsoft-azure',13604,100,
design',12622,84,n
NA,11029,107,n
data-engineering',10592,78,n
database',10521,53,n
iot',10500,50,
azure-kubernetes-service',10444,52,
software-engineering',10300,114,
google-cloud-functions',9690,126,
sql',9644,42,
bigquery',9610,70,
net-core',9584,76,
infrastructure',9568,58,n
ai',9484,164,n
nats',9400,16,
nats-streaming',9400,16,
event-sourcing',9400,16,
cryptocurrency',9354,107,
iaas',9148,116,
flask',9042,44,
deep-learning',8988,146,
cybersecurity',8870,68,
edge-computing',8836,6,
service-broker',8800,26,
cisco',8800,26,n
cisco-spark',8800,26,n
news',8746,52,n
saas',8474,104,n
hashicorp-consul',8400,58,
trends',8112,80,n
azure-devops',7611,86,
software',7310,16,n
',7217,117,n
angular',7152,98,
internet-of-things',7062,70,
java',6610,32,
tsdb',6600,42,n
timeseries',6600,42,n
influxdb',6600,42,
timescaledb',6600,42,
automation',6522,70,n
development',6445,72,n
pandas',6432,26,
amazon-web-services',6418,82,
cloud-vision',6400,32,
app-engine',6272,76,
data-analytics',6198,62,n
serverless-architecture',6128,30,
tensorflow',6118,102,
hashicorp',5910,26,
mobile-app-development',5846,68,n
podcast',5844,22,n
infrastructure-as-code',5814,66,
analysis',5796,32,n
self-improvement',5650,8,n
go',5616,68,n
alibaba-cloud',5564,14,n
google-cloud-storage',5534,62,
logging',5370,14,n
architecture',5344,76,n
design-patterns',5280,68,n
produto',5280,68,n
engenharia-de-software',5280,68,n
dotnet',5210,56,
azure-pipelines',5192,38,
xaas',5186,72,
packer',5120,28,
swift-programming',5000,0,
immutable-infrastructure',5000,26,n
reichental',5000,68,n
smart-city',5000,68,n
cloud-storage',4986,31,
desenvolvimento-software',4964,54,n
react',4944,50,
nginx',4784,72,
neo4j',4764,48,
stocks',4752,16,n
towards-data-science',4749,30,n
typescript',4658,60,n
cursos-online',4616,54,n
free',4566,54,n
augmented-reality',4526,16,n
course',4444,64,n
business',4372,24,n
cursos',4370,46,n
tech-nuggets',4350,34,n
finance',4254,16,n
dotnet-core',4247,40,
redis',4238,22,
coding',4230,26,n
tutorial',4202,110,n
statistics',4200,12,n
ethereum',4126,44,
authentication',4012,73,n
so the client can periodically send requests to the server for getting back its notifications,4000,0,n
to some degree,4000,0,n
can enable the server to actively send notifications to the client. However,4000,0,n
it cannot meet requirements for real-time performance,4000,0,n
after some research,4000,0,n
this architecture will put great pressure on the server,4000,0,n
making it difficult to support a large number of online users at the same time. Therefore,4000,0,n
the R&D Team of Aixuexi Education Group has to design an application-layer communication protocol,4000,0,n
which is an extremely complex task with various challenges,4000,0,n
time costs and risks are very high. With the rapid development of business,4000,0,n
simple,4000,0,n
lightweight,4000,0,n
MQTT is just a protocol. Before applying the MQTT protocol to large-scale commercial scenarios,4000,0,n
their performance sharply declines. Therefore,4000,0,n
millions of concurrent messages,4000,0,n
MQ for RocketMQ,4000,0,n
server instances are smaller in scale,4000,0,n
for server instances,4000,0,n
this issue can be solved by adding more server instances. For MQTT-based cloud services,4000,0,n
the performance improvement of it can be achieved by upgrading configurations according to rules,4000,0,n
such as bad network environments,4000,0,n
reconnection,4000,0,n
exception handling,4000,0,n
high concurrency,4000,0,n
Aixuexi Education Group has expanded the capacity of this system several times. As a result,4000,0,n
but learning will continue” proposition from the Ministry of Education of China,4000,0,n
and to transform from offline teaching to online teaching in time,4000,0,n
the Aixuexi Education Group can solve more challenges in the future. Li Chuan,4000,0,n
Co-Founder and CEO of Aixuexi Education Group,4000,0,n
said,4000,0,n
“We would like to do something more valuable,4000,0,n
coaching new developers,4000,0,n
Freelancer,4000,0,n
service-mesh',3982,40,
arkit',3960,16,n
arcore',3960,16,
mixed-reality',3960,16,n
networking',3950,74,n
container',3948,12,
performance',3942,72,n
data-security',3926,12,
google-cloud-shell',3922,34,
1,3912,108,n
google-app-engine',3904,66,
snowflake',3670,35,
testing',3574,56,n
gce',3568,54,
mongodb',3554,30,
continuous-integration',3430,48,
api-integration',3426,14,
google-compute-engine',3402,44,
ambassador',3400,20,n
api-development',3400,8,n
api-management',3400,8,n
apache-beam',3336,44,
firestore',3304,28,
hardware',3298,48,n
spring-boot',3276,26,
internet',3254,24,n
investing',3232,6,n
webhooks',3204,6,n
facebook',3200,6,n
developer',3192,34,n
android',3184,18,n
stackdriver',3156,34,n
scraping',3102,54,n
cloudflare',3058,36,
the-cloud',3000,20,n
stream-processing',2998,18,
azure-machine-learning',2914,4,
web3',2870,30,n
crypto',2836,60,
hybrid-cloud',2820,22,
sql-server',2810,0,
faas',2786,18,
azure-container-instances',2770,16,
messaging',2744,52,n
google-cloud-dataflow',2722,36,
pivotal',2694,22,n
continuous-deployment',2684,24,
dns',2668,24,n
website',2656,46,n
wordpress',2628,18,n
scikit-learn',2584,58,
training',2574,18,n
office-365',2546,54,
automl',2528,18,
azure-sql-database',2468,4,
kubernetes-engine',2464,32,
flutter',2432,20,
computing',2414,16,n
oracle-cloud',2408,16,n
hotel',2400,24,n
hotel-accomodation',2400,24,n
hotel-management',2400,24,n
hotel-booking',2400,24,n
travel',2400,24,n
education',2362,34,n
concourseci',2322,20,n
computer-science',2290,22,n
chatbots',2284,16,n
gitops',2270,18,
git',2268,26,
