title,subtitle,author_url,story_url,date,claps,responses,reading_time,tags,relatedUrl
I’m Leaving Google — Here’s the Real Deal Behind Google Cloud,-,https://medium.com/@amirhermelin,https://medium.com/@amirhermelin/im-leaving-google-and-here-s-the-real-deal-behind-google-cloud-1b86513be01b?source=search_post---------0,"[<time datetime=""2018-10-05T17:33:40.918Z"">Oct 5, 2018</time>]",23K,124 responses,8 min read,"['google-cloud-platform', 'cloud-functions', 'python', 'serverless', 'google-cloud-platform', 'cloud-functions', 'python', 'serverless']","['https:\\u002F\\u002Fmedium.com\\u002F@timhberry\\u002Fgetting-started-with-python-for-google-cloud-functions-646a8cddbb33', 'https:\\u002F\\u002Fkushkothari2001.medium.com\\u002Fgsoc-final-report-6fcade313d9f', 'https:\\u002F\\u002Fnonradically1962.medium.com\\u002Fupdate-%D1%8D%D1%80%D1%83%D0%B4%D0%B8%D1%82-%D0%B2%D0%B8%D0%BA%D1%82%D0%BE%D1%80%D0%B8%D0%BD%D0%B0-%D0%B8-%D0%BA%D1%80%D0%BE%D1%81%D1%81%D0%B2%D0%BE%D1%80%D0%B4%D1%8B-hack-free-resources-generator-2fc6a6f28f53', 'https:\\u002F\\u002Ffaun.pub\\u002Fistio-multi-cluster-setup-on-aks-361fb55ee5c0', 'https:\\u002F\\u002Fmedium.com\\u002Fhootsuite-engineering\\u002Frecursively-merging-jsonb-in-postgresql-efd787c9fad7', 'https:\\u002F\\u002Fguilbomadev.medium.com\\u002Fc-challenge-difficulty-selector-2056e9997722', 'https:\\u002F\\u002Fmedium.com\\u002Fedureka\\u002Fschema-in-sql-816c6869073b', 'https:\\u002F\\u002Fmedium.com\\u002F@matthewgoodbody\\u002Fspeaking-publicly-about-something-i-know-nothing-about-1faaad4b5479', 'https:\\u002F\\u002Fmmateuspagodaol.medium.com\\u002Fv-ace181d0608d', 'https:\\u002F\\u002Fmedium.com\\u002F@p4toch\\u002Fdeploy-a-flask-mongo-python-app-on-aws-with-packer-and-terraform-fe85cb47c57e', 'https:\\u002F\\u002Fmedium.com\\u002F@keith.trnka\\u002Fcloudwatch-custom-metrics-in-a-python-lambda-93c00791c788', 'https:\\u002F\\u002Fmedium.com\\u002Fgeekculture\\u002Fbuilding-an-apache-kafka-cluster-using-aws-cdk-60274c607be1', 'https:\\u002F\\u002Fpython.plainenglish.io\\u002Fconfiguring-cognitos-hosted-ui-with-a-custom-resource-in-cdk-python-9f2fde423f95']"
Why you should not use Google Cloud.,-,https://medium.com/@serverpunch,https://medium.com/@serverpunch/why-you-should-not-use-google-cloud-75ea2aec00de?source=search_post---------1,"[<time datetime=""2018-06-29T11:24:17.515Z"">Jun 29, 2018</time>]",12.2K,50 responses,4 min read,"['google-cloud-platform', 'aspnetcore', 'deployment', 'cloud-sql', 'postgresql', 'google-cloud-platform', 'aspnetcore', 'deployment', 'cloud-sql', 'postgresql']","['https:\\u002F\\u002Fmedium.com\\u002Fnet-core\\u002Fdeploy-an-asp-net-core-app-with-ef-core-and-postgresql-to-google-cloud-be8a06978eb0', 'https:\\u002F\\u002Fmedium.com\\u002F@life_at_salsify\\u002Fmeet-the-lisbon-engineering-team-6956639e388b', 'https:\\u002F\\u002Fmedium.com\\u002F@safarimupe\\u002Fdesign-and-implement-an-editor-like-quora-in-codeigniter-part-i-74573420316e', 'https:\\u002F\\u002Fmedium.com\\u002F@paramsingh96\\u002Foptimizing-pattern-searching-queries-in-postgresql-84087d9bac8c', 'https:\\u002F\\u002Fmedium.com\\u002Fvergecurrency\\u002Fdevelopment-update-on-verge-19-bb122e90b074', 'https:\\u002F\\u002Fblog.pods.finance\\u002Ftaking-a-hackathon-project-to-production-e4c316c5da8a', 'https:\\u002F\\u002Feveritalia.medium.com\\u002Fdracu-riot-english-patch-download-2fea450191a', 'https:\\u002F\\u002Fmedium.com\\u002F@infratodevops\\u002Fdevop-foundations-introducing-google-kubernetes-engine-part-1-cc3f28200298', 'https:\\u002F\\u002Fseanwallbridge.medium.com\\u002Fhow-to-have-multiple-microsoft-teams-instances-windows-e802244ecb98', 'https:\\u002F\\u002Fmedium.com\\u002F@technicadil_001\\u002Fhow-to-implement-logging-with-asp-net-core-elasticsearch-and-kiabana-a24e0a19eaa9', 'https:\\u002F\\u002Fsystemweakness.com\\u002Fssl-using-lets-encrypt-50506e3c6ff4', 'https:\\u002F\\u002Fmedium.com\\u002Fgeekculture\\u002Fusing-github-actions-for-ci-cd-with-net-core-5-and-aws-elastic-beanstalk-5141228b61bd', 'https:\\u002F\\u002Fjasonterando.medium.com\\u002Fnet-core-tee-streaming-and-buffered-s3-uploads-4a063230d99f']"
How I Cleared 3 Google Cloud Certifications in 3 Weeks,-,https://medium.com/@yesdeepakverma,https://medium.com/@yesdeepakverma/how-i-cleared-all-3-google-cloud-certifications-in-3-weeks-f5591aa22572?source=search_post---------2,"[<time datetime=""2018-12-11T17:49:14.327Z"">Dec 11, 2018</time>]",7K,25 responses,6 min read,"['certification', 'g-suite', 'google-cloud-platform', 'google-cloud', 'office', 'certification', 'g-suite', 'google-cloud-platform', 'google-cloud', 'office']","['https:\\u002F\\u002Fsathishvj.medium.com\\u002Fnotes-from-my-google-cloud-g-suite-certification-exam-36cd881eded3', 'https:\\u002F\\u002Fas510891328.medium.com\\u002Fruby-on-rails-and-mvc-7fa883f82d85', 'https:\\u002F\\u002Fmedium.com\\u002F@atulgoswamiandc\\u002Fusing-infrastructure-as-code-to-improve-cloud-security-db55ddf5b893', 'https:\\u002F\\u002Fmedium.com\\u002F@vitoriaroas\\u002Fhow-to-start-a-new-git-repository-a91943260271', 'https:\\u002F\\u002Fmedium.com\\u002Fpragmatic-programmers\\u002Fbridging-the-gap-from-regular-expressions-to-machines-6e5b31bdfe1d', 'https:\\u002F\\u002Fmedium.com\\u002Fpragmatic-programmers\\u002Fwait-your-turn-a8e05f314090', 'https:\\u002F\\u002Fmedium.com\\u002Fpragmatic-programmers\\u002Fchapter-14-the-sprint-review-f023818cc061', 'https:\\u002F\\u002Fmedium.com\\u002F@1nourdinehaw\\u002Fread-download-sopa-de-letras-en-espa%C3%B1ol-letra-gr-6c5982c3285f', 'https:\\u002F\\u002Fmedium.com\\u002F@leenasn\\u002Fan-overview-of-the-mdm-landscape-a3efbeb12834', 'https:\\u002F\\u002Fmuktaqa12.medium.com\\u002Fdifferent-service-models-in-cloud-6b8792f9433', 'https:\\u002F\\u002Fantonit.medium.com\\u002Fprofessional-cloud-security-engineer-beta-exam-review-cad220183d67', 'https:\\u002F\\u002Fmedium.com\\u002F@chelz.sudha\\u002Fcounting-buckets-objects-with-aws-boto3-s3-resource-7c5a75569108', 'https:\\u002F\\u002Fmedium.com\\u002F@vikassharma555\\u002Fsqoop-from-mysql-to-hive-in-hdfs-54c84d2587ec']"
Dear Google Cloud: Your Deprecation Policy is Killing You,-,https://medium.com/@steve-yegge,https://medium.com/@steve-yegge/dear-google-cloud-your-deprecation-policy-is-killing-you-ee7525dc05dc?source=search_post---------3,"[<time datetime=""2020-08-15T01:51:35.966Z"">Aug 15, 2020</time>]",7.9K,63 responses,23 min read,"['google-cloud-platform', 'continuous-delivery', 'devops', 'cloud-build', 'compute-engine', 'google-cloud-platform', 'continuous-delivery', 'devops', 'cloud-build', 'compute-engine']","['https:\\u002F\\u002Fmedium.com\\u002Fgoogle-cloud\\u002Fcontinuous-delivery-in-google-cloud-platform-cloud-build-with-compute-engine-a95bf4fd1821', 'https:\\u002F\\u002Fmedium.com\\u002Fgoogle-cloud\\u002Fkeyless-api-authentication-launching-gcp-workloads-from-aws-b715b4e6c99a', 'https:\\u002F\\u002Fmedium.com\\u002Fzeotap-customer-intelligence-unleashed\\u002Fcloud-sql-iam-database-authentication-manage-user-access-to-the-databases-in-an-efficient-way-d323a6dcae52', 'https:\\u002F\\u002Fmedium.com\\u002Fgeekculture\\u002Fsetup-gcp-cloud-functions-triggering-by-cloud-schedulers-with-terraform-1433fbf1abbe', 'https:\\u002F\\u002Fdwdraju.medium.com\\u002Fcalling-google-cloud-services-from-aws-using-iam-roles-without-gcp-service-account-credentials-af918c05384d', 'https:\\u002F\\u002Ffaun.pub\\u002Fcreate-your-first-php-mysql-application-in-docker-c2d782eb79ab', 'https:\\u002F\\u002Frobpridham.medium.com\\u002Fheroes-and-teachers-in-software-engineering-a65fc6e9897b', 'https:\\u002F\\u002Fmedium.com\\u002Fserious-scrum\\u002Fa-tale-of-two-orchestras-d48deb0ac9ec', 'https:\\u002F\\u002Fmedium.com\\u002Fbb-tutorials-and-thoughts\\u002Fdevelopment-environment-setup-for-vue-js-with-java-backend-fea45f601dc8', 'https:\\u002F\\u002Ftowardsdatascience.com\\u002Fgetting-started-with-apache-airflow-df1aa77d7b1b', 'https:\\u002F\\u002Fmedium.com\\u002Fswlh\\u002Fbasic-business-economics-for-developers-1fdee0deb9b', 'https:\\u002F\\u002Fmedium.com\\u002Fgeekculture\\u002Fbuild-slack-application-in-golang-using-socket-mode-setting-up-57f454e63c0a', 'https:\\u002F\\u002Fmatthieujabbour.medium.com\\u002Fyou-dont-need-ssr-6c138fa74c58']"
Running Jupyter Notebook on Google Cloud Platform in 15 min,-,https://towardsdatascience.com/@aankul.a,https://towardsdatascience.com/running-jupyter-notebook-in-google-cloud-platform-in-15-min-61e16da34d52?source=search_post---------4,"[<time datetime=""2017-09-08T15:43:02.836Z"">Sep 8, 2017</time>]",5.2K,82 responses,5 min read,"['google-cloud-platform', 'terraform', 'google-cloud-platform', 'terraform']","['https:\\u002F\\u002Fmedium.com\\u002Fgoogle-cloud\\u002Fterraform-assume-role-and-service-account-impersonation-on-google-cloud-ffc553863e72', 'https:\\u002F\\u002Fmedium.com\\u002F@JacobsEdo\\u002Fscalable-stochastic-model-for-iaas-cloud-computing-platforms-29e159ec7cc3', 'https:\\u002F\\u002Fmedium.com\\u002F@hendro.kyuby\\u002Fcara-install-oracle-java-pada-ubuntu-20-04-debian-11-45d4143277d8', 'https:\\u002F\\u002Fmedium.com\\u002Fswlh\\u002Fstarting-php-database-quick-configuration-5acf2f607d50', 'https:\\u002F\\u002Fblog.cryptostars.is\\u002Fweb-3-0-the-future-of-internet-c04ff8033f3e', 'https:\\u002F\\u002Fdanielrosehill.medium.com\\u002Fhow-to-backup-your-articles-from-medium-and-one-thing-you-should-know-b9a8a4873cc0', 'https:\\u002F\\u002Fmedium.com\\u002Fdexma-engineering\\u002Fthe-sweetest-fruit-salad-recipe-for-energy-saving-services-d27d2e8aa798', 'https:\\u002F\\u002Fmedium.com\\u002F@utkarshsingh369_78481\\u002Fdrawpi-building-apis-in-minutes-c3c4a6d85686', 'https:\\u002F\\u002Fmedium.com\\u002F@sfdcbrewery\\u002Fsalesforce-content-security-file-scanning-with-opswat-f-secure-blog-3-aabe42bbcd2f', 'https:\\u002F\\u002Fmedium.com\\u002Fgoogle-cloud\\u002Fgoogle-cloud-devops-part-1-introduction-to-google-native-devops-process-bfb55be9e3f3', 'https:\\u002F\\u002Fgenekuo.medium.com\\u002Fsetting-up-a-ci-cd-pipeline-on-gcp-with-terraform-539e66797072', 'https:\\u002F\\u002Fmedium.com\\u002Fcodex\\u002Fkubernetes-and-terraform-in-google-cloud-3fc9e1c81e0', 'https:\\u002F\\u002Fblog.searce.com\\u002Fscaling-applications-using-custom-metrics-horizontal-pod-autoscaler-hpa-on-gke-ba11c462c83b']"
How I Passed the Google Cloud Professional Data Engineer Certification Exam,Without the recommended…,https://towardsdatascience.com/@mrdbourke,https://towardsdatascience.com/passing-the-google-cloud-professional-data-engineer-certification-87da9908b333?source=search_post---------5,"[<time datetime=""2019-04-27T12:42:32.648Z"">Apr 27, 2019</time>]",3.3K,21 responses,10 min read,"['google-cloud-platform', 'tsdb', 'timeseries', 'influxdb', 'timescaledb', 'google-cloud-platform', 'tsdb', 'timeseries', 'influxdb', 'timescaledb']","['https:\\u002F\\u002Fvalyala.medium.com\\u002Fmeasuring-vertical-scalability-for-time-series-databases-in-google-cloud-92550d78d8ae', 'https:\\u002F\\u002Fmedium.com\\u002Fairtelxlabs\\u002Fthe-traveling-patroller-26b37662f5b', 'https:\\u002F\\u002Fonecenapothik.medium.com\\u002Fvp-elect-kamala-harris-represents-all-women-not-just-black-and-indian-af09cbe00684', 'https:\\u002F\\u002Fmedium.com\\u002Fgr-blog\\u002Fdefining-gr-capabilities-5342886c8d3d', 'https:\\u002F\\u002Flevelup.gitconnected.com\\u002Frunning-end-to-end-tests-on-netlify-d43ffa34c5bd', 'https:\\u002F\\u002Fdimuthu-w.medium.com\\u002Fcreating-a-spring-boot-application-to-update-a-mysql-database-3435f0089dfa', 'https:\\u002F\\u002Fmedium.com\\u002F@riyaznet\\u002Fwhat-is-serverless-computing-and-what-are-its-benefits-b590ea216558', 'https:\\u002F\\u002Fmedium.com\\u002F@kingsayem\\u002Ftop-saas-management-tools-for-small-business-eade05cec4d9', 'https:\\u002F\\u002Fmedium.com\\u002F@akulgupta\\u002Fdockerizing-django-simplified-2-4e7a39cd6d6c', 'https:\\u002F\\u002Fmedium.com\\u002F@CQCZhang\\u002Fbuilding-a-robust-gpu-cloud-in-60-mins-part-3-running-and-scale-nvidia-deepstream-on-a100-a1951c4cfeeb', 'https:\\u002F\\u002Fmedium.com\\u002F@kevindanikowski\\u002Fcreate-gpu-attached-vm-with-docker-container-on-google-cloud-platform-91dbce469a14', 'https:\\u002F\\u002Fpub.towardsai.net\\u002Fthe-basics-of-enabling-pods-to-communicate-across-namespaces-in-kubernetes-b6e5dbec2d3a', 'https:\\u002F\\u002Fmedium.com\\u002F@steveoni\\u002Fkubernetes-vs-docker-what-you-should-know-as-a-machine-learning-engineer-e95521e52a31']"
What’s the relationship between Firebase and Google Cloud?,-,https://medium.com/@CodingDoug,https://medium.com/google-developers/whats-the-relationship-between-firebase-and-google-cloud-57e268a7ff6f?source=search_post---------6,"[<time datetime=""2019-01-13T22:03:38.971Z"">Jan 14, 2019</time>]",3.2K,16 responses,8 min read,"['programming', 'golang', 'cloud-vision', 'programming', 'golang', 'cloud-vision']","['https:\\u002F\\u002Fmedium.com\\u002Fgoogle-cloud\\u002Fusing-google-cloud-vision-api-with-golang-830e70323de7', 'https:\\u002F\\u002Flevelup.gitconnected.com\\u002Fhow-to-periodically-check-mongodb-replica-set-status-c25fc36d2b9e', 'https:\\u002F\\u002Fmedium.com\\u002Fmop-developers\\u002Fusing-optical-character-recognition-ocr-to-recognize-components-on-electrical-schemes-with-golang-96987d895819', 'https:\\u002F\\u002Ffaun.pub\\u002F2-different-ways-to-implement-bfs-in-golang-8399f5d2452d', 'https:\\u002F\\u002Fjcdan3.medium.com\\u002Funit-testing-in-go-using-mockery-67fb4879bacb']"
Serverless Showdown: AWS Lambda vs Firebase Google Cloud Functions,-,https://medium.com/@ste.grider,https://medium.com/@ste.grider/serverless-showdown-aws-lambda-vs-firebase-google-cloud-functions-cc7529bcfa7d?source=search_post---------7,"[<time datetime=""2017-04-24T16:59:59.560Z"">Apr 24, 2017</time>]",2.6K,10 responses,11 min read,"['python', 'sql', 'pandas', 'data-engineering', 'javascript', 'flask', 'aws', 'golang', 'google-cloud-platform', 'cloud-functions', 'serverless-architecture', 'api', 'gcp', 'python', 'sql', 'pandas', 'data-engineering', 'javascript', 'flask', 'aws', 'golang', 'google-cloud-platform', 'cloud-functions', 'serverless-architecture', 'api', 'gcp']","['https:\\u002F\\u002Fmedium.com\\u002Fhacking-and-slacking\\u002Fcreating-google-cloud-functions-running-python-3-7-8034e066a130', 'https:\\u002F\\u002Fmedium.com\\u002F@alwislimwy\\u002Fmy-2018-google-code-in-experience-654d6fc93327', 'https:\\u002F\\u002Fparth-24073.medium.com\\u002Fci-cd-using-github-actions-f34bd6077e00', 'https:\\u002F\\u002Fmedium.com\\u002Fthe-uncharted\\u002Fpublishing-an-android-app-d8e3bca598b3', 'https:\\u002F\\u002Fdncrews.com\\u002Fquerying-a-localgraphql-microservice-c85a061edec0', 'https:\\u002F\\u002Fmedium.com\\u002Fswlh\\u002Fthread-safe-code-through-tdd-ad3266723770', 'https:\\u002F\\u002Fmedium.com\\u002F@rickyeckhardt\\u002Fan-unintentional-career-8b2e38d8ee0e', 'https:\\u002F\\u002Ftstillz.medium.com\\u002Fsmashing-the-stack-with-carbon-black-b0c7ec32ae', 'https:\\u002F\\u002Fobrunosilvasnodv.medium.com\\u002Fraise-your-hand-if-you-want-to-quit-drinking-coffee-4acbd4d31a9f', 'https:\\u002F\\u002Fmedium.com\\u002Froivant-technology\\u002Fmanaging-complex-twitter-search-queries-21bc5d2645c3', 'https:\\u002F\\u002Fmedium.com\\u002F@quedi.zata\\u002Ftutorial-how-to-install-apache-airflow-locally-69763dcadb83', 'https:\\u002F\\u002Fmedium.com\\u002F@alexbuzunov\\u002Faws-data-pipeline-browser-using-wxpython-2b1aff707ef5', 'https:\\u002F\\u002Fmedium.com\\u002F@datacouch\\u002Fset-up-a-local-pyspark-environment-with-jupyter-on-window-mac-32ce6fc7813b']"
Google Cloud Architect Exam Study Materials,-,https://medium.com/@earlg3,https://medium.com/@earlg3/google-cloud-architect-exam-study-materials-5ab327b62bc8?source=search_post---------8,"[<time datetime=""2017-07-18T01:19:45.380Z"">Jul 18, 2017</time>]",1.7K,10 responses,4 min read,"['serverless', 'google-cloud-run', 'ambassador', 'service-mesh', 'open-source', 'serverless', 'google-cloud-run', 'ambassador', 'service-mesh', 'open-source']","['https:\\u002F\\u002Fmedium.com\\u002F@jimbobbirnie\\u002Fwhy-do-we-think-a-big-bang-process-release-will-work-fe8a1fc3baf1', 'https:\\u002F\\u002Fhalilozel1903.medium.com\\u002Fhow-to-develop-android-tv-app-5e251f3aa56b', 'https:\\u002F\\u002Fmarthaerm.medium.com\\u002Flearning-journal-nearsoft-academy-week-8-e88b0c3272d7', 'https:\\u002F\\u002Fpraveendavidmathew.medium.com\\u002Fwinappdriver-first-step-into-windows-app-test-automation-using-webdriverio-and-winappdriver-46320d89570b', 'https:\\u002F\\u002Fpreettheman.medium.com\\u002Fwhich-programming-language-should-you-learn-first-59de0a92e0aa', 'https:\\u002F\\u002Fmedium.com\\u002Ftbtech-news\\u002Faws-adds-the-latest-twinmaker-by-matterport-to-their-marketplace-994eecbdc9bf', 'https:\\u002F\\u002Fbetterprogramming.pub\\u002Fcomputer-science-fundamentals-complexity-b75000d09cbe', 'https:\\u002F\\u002Fmedium.com\\u002F@aoliadi1998\\u002Fhng-start-line-6e2629f2e9b6', 'https:\\u002F\\u002Fblog.getambassador.io\\u002Fexperimenting-with-a-serverless-service-mesh-with-ambassador-on-google-cloud-run-c0b0da2130d1']"
Firebase & Google Cloud: What’s different with Cloud Functions?,-,https://medium.com/@CodingDoug,https://medium.com/google-developers/firebase-google-cloud-whats-different-with-cloud-functions-612d9e1e89cb?source=search_post---------9,"[<time datetime=""2019-01-24T20:52:12.496Z"">Jan 25, 2019</time>]",1.6K,6 responses,7 min read,"['google-cloud-platform', 'certification', 'google', 'technology', 'google-cloud-platform', 'certification', 'google', 'technology']","['https:\\u002F\\u002Fsathishvj.medium.com\\u002Fnotes-from-my-beta-google-cloud-professional-security-engineer-certification-exam-bff02c93d757', 'https:\\u002F\\u002Fdjodjo-023.medium.com\\u002Fhow-to-keep-your-passwords-safe-83df0b59fb43', 'https:\\u002F\\u002Fmultivac-global.medium.com\\u002Fmultivac-issues-1-1-token-swap-in-response-to-kucoin-security-breach-ensuring-no-loss-to-mtv-4f70d9de4b51', 'https:\\u002F\\u002Fcrypviser.medium.com\\u002Fthe-most-private-and-secure-messenger-period-fe45df00f3f0', 'https:\\u002F\\u002Fmedium.com\\u002Fyour-tech-moment\\u002Fhacking-apple-d0718c1cd168', 'https:\\u002F\\u002Flucasmartincalderon1.medium.com\\u002Fwhy-elon-musks-starlink-will-be-the-death-of-the-internet-c7da7f96e75', 'https:\\u002F\\u002Ftignum1954.medium.com\\u002Fupdate-my-cat-attract-wealth-hack-free-resources-generator-5704e364e5be', 'https:\\u002F\\u002Fmedium.com\\u002Fdude-jitsu-for-everyday-life-leisure\\u002Fthe-8-attributes-of-an-attacker-2dc19bcd4e7f', 'https:\\u002F\\u002Fmedium.com\\u002F@madhuvantha\\u002Fdouble-submit-cookies-pattern-1e9078dfeb84', 'https:\\u002F\\u002Fsathishvj.medium.com\\u002Fcloud-terminologies-videos-for-gcp-and-cloud-digital-leader-playlist-36c230a30a30', 'https:\\u002F\\u002Fantonit.medium.com\\u002Fprofessional-cloud-security-engineer-beta-exam-review-cad220183d67', 'https:\\u002F\\u002Fmedium.com\\u002F@ismaelbouarfa\\u002Frunning-fast-from-big-data-to-fast-data-95536574c650', 'https:\\u002F\\u002Fmedium.com\\u002F@mikoajostrzoek\\u002Ftrust-me-im-an-engineer-data-scientist-s-perspective-on-gcp-data-engineer-exam-3e62602e5149']"
