title,subtitle,author_url,story_url,date,claps,responses,reading_time,tags,relatedUrl
Programming Languages in the Era of the Cloud,-,https://chiefscientist.org/@ChiefScientist,https://chiefscientist.org/programming-languages-in-the-era-of-the-cloud-1b0290238b39?source=search_post---------0,"[<time datetime=""2020-10-28T03:31:22.412Z"">Oct 27, 2020</time>]",1,0 responses,2 min read,"['geospatial', 'mapping', 'visualization', 'cartography', 'data-visualization', 'geospatial', 'mapping', 'visualization', 'cartography', 'data-visualization']","['https:\\u002F\\u002Fimaginarycloud.medium.com\\u002Felm-javascript-reinvented-part-2-d0bee0334f7', 'https:\\u002F\\u002Fmedium.com\\u002F@titash.roy5\\u002Fwhat-is-redux-e92d580241f0', 'https:\\u002F\\u002Fmedium.com\\u002Fjspoint\\u002Ftypescript-a-beginners-guide-6956fe8bcf9e', 'https:\\u002F\\u002Fblog.bitsrc.io\\u002Fhow-to-read-local-json-files-deploy-an-angular-app-a96a881036f2', 'https:\\u002F\\u002Fmedium.com\\u002F@kajohnson3140\\u002Fvalid-palindrome-javascript-leetcode-1c4784f253ca', 'https:\\u002F\\u002Fmedium.com\\u002Fcodesphere-cloud\\u002Fbuilding-a-video-chat-app-with-socket-io-peerjs-codesphere-b0663bcbe3d7', 'https:\\u002F\\u002Fjavascript.plainenglish.io\\u002Fusing-react-native-image-picker-4495776c8bae', 'https:\\u002F\\u002Fmedium.com\\u002F@santhipv91\\u002Fuses-of-the-split-function-with-some-examples-7e68fac7b307', 'https:\\u002F\\u002Fhi.stamen.com\\u002Fhere-xyz-bdd29e3d4a16']"
The Rise of Zero Trust and Why It Matters | Wickr,-,https://medium.com/@wickr,https://medium.com/@wickr/the-rise-of-zero-trust-and-why-it-matters-wickr-b981215fac7b?source=search_post---------1,"[<time datetime=""2020-01-27T17:34:49.000Z"">Jan 27, 2020</time>]",0,0 responses,4 min read,"['samsung-galaxy', 'battery-life', 'cloud-storage', 'samsung-galaxy', 'battery-life', 'cloud-storage']","['https:\\u002F\\u002Fbrianlow.medium.com\\u002Fand-the-worst-of-cloud-storage-is-dropdead-guys-80feff5352c1', 'https:\\u002F\\u002Fmedium.com\\u002Fswlh\\u002Fthe-smartphone-storage-problem-72f87f61641b', 'https:\\u002F\\u002Faimiyou.medium.com\\u002Fchina-pursues-tech-self-reliance-fueling-global-unease-associated-press-a5dbc9183b35', ' city. A metropolis. We all know that, but what is it missing that another fairly large city in Canada, Calgary, can offer…', 'NEON might become your cashier, your makeup advisor, and even maybe your friend', 'st CHC spotlight with HyperloopTT, hyperloop companies are making big strides in the development of hyperloop…']"
Log on to Alibaba Cloud Using Internal Enterprise Accounts with RAM Single Sign-On,-,https://medium.com/@alibaba-cloud,https://medium.com/@alibaba-cloud/log-on-to-alibaba-cloud-using-internal-enterprise-accounts-with-ram-single-sign-on-301dbee6a48f?source=search_post---------2,"[<time datetime=""2019-01-30T07:47:50.275Z"">Jan 29, 2019</time>]",0,0 responses,5 min read,"['aws', 'cloud-computing', 'aiops', 'aws-reserved-instances', 'aws-ris', 'aws', 'cloud-computing', 'aiops', 'aws-reserved-instances', 'aws-ris']","['https:\\u002F\\u002Fnutanix.medium.com\\u002Fintroducing-botmetric-smart-reserved-instance-management-for-aws-powered-by-aiops-c22b3b52cf3', 'https:\\u002F\\u002Ffaun.pub\\u002Fred-hat-openshift-4-7-tech-giants-targeted-with-copycats-gloo-mesh-enterprise-made-available-a929074f300', 'https:\\u002F\\u002Fsemaphoresoftware.medium.com\\u002Fwordpress-5-2-is-announced-with-site-health-check-and-php-error-protection-df5ccaf7940d', 'https:\\u002F\\u002Fmedium.com\\u002F@scrrumlabs\\u002Fwhy-should-you-move-to-cloud-native-applications-ea754246ccc4', 'https:\\u002F\\u002Fankur-kdkvm.medium.com\\u002Fsamsung-r-d-internship-interview-intern-and-fte-experience-and-tips-to-excel-intern-at-srib-d6434cba82e1', 'https:\\u002F\\u002Fmedium.com\\u002F@thebaileybrew\\u002Funderstanding-androids-mediaplayer-give-your-apps-some-musical-panache-611dc8a5b3b7', 'https:\\u002F\\u002Fblog.devgenius.io\\u002Fflutter-protocol-oriented-programming-c27082af9bfc', 'https:\\u002F\\u002Fmedium.com\\u002F@ec592\\u002Fcourse-plan-bf0e533e9d26', 'https:\\u002F\\u002Fmedium.com\\u002F99p-labs\\u002Frest-and-grpc-room-for-both-b38b5ca4a7b9', 'https:\\u002F\\u002Fmedium.com\\u002F@pawanchadha\\u002Ftop-10-aws-services-why-cloud-what-in-cloud-6b60a782dcb8', 'https:\\u002F\\u002Frichardsonlima.medium.com\\u002Fassume-a-cross-account-aws-iam-role-b1478064e6c4', 'https:\\u002F\\u002Fmedium.com\\u002F@abhinav.s0612\\u002Fslack-integration-with-cloud-custodian-66d33ae19908', 'https:\\u002F\\u002Fmedium.com\\u002F@sabihaali1\\u002Flet-us-decrypt-envelope-encryption-56fd6dcfe00']"
"I Awoke from a Wet Dream, Only to Realize I Had Lucid Dream Sex",How to Take an Internal Trip to Cloud-9,https://medium.com/@poetrymatters,https://medium.com/sensual-enchantment/i-awoke-from-a-wet-dream-only-to-realize-i-had-lucid-dream-sex-77f66a6dc10a?source=search_post---------3,"[<time datetime=""2021-02-25T15:08:58.601Z"">Feb 25, 2021</time>]",556,4 responses,7 min read,"['kubernetes', 'iterm2', 'cloud-pak-for-data', 'openshift', 'ibm', 'kubernetes', 'iterm2', 'cloud-pak-for-data', 'openshift', 'ibm']","['https:\\u002F\\u002Fhanusiak-tomasz.medium.com\\u002Fusing-iterm2-to-work-with-openshift-clusters-to-manage-cloud-pak-for-data-b2f3224fbca8', 'https:\\u002F\\u002Fbuddhimau.medium.com\\u002Fperformance-tuning-wso2-identity-server-kubernetes-deployment-389a627d0cb5', 'https:\\u002F\\u002Fmedium.com\\u002F@filipeversehgi\\u002Fkeycloak-with-helm-behind-two-proxies-azure-application-gat-ec542cb92722', 'https:\\u002F\\u002Fmedium.com\\u002Ftech-quizlet\\u002Friding-the-back-to-school-wave-with-proxysql-193c0b68e30b', 'https:\\u002F\\u002Fmedium.com\\u002F@sidsingh7001\\u002Fusing-dynamic-block-for-nested-loops-in-terraform-660799e75bf0']"
Crust Cloud Beta — Open for Testing!,-,https://medium.com/@crustnetwork,https://medium.com/crustnetwork/crust-cloud-beta-open-for-testing-c64c7751008?source=search_post---------4,"[<time datetime=""2020-09-24T03:22:55.707Z"">Sep 23, 2020</time>]",3,0 responses,2 min read,NA,NA
How CDNs can adapt to the cloud computing era,-,https://medium.com/@edgecast,https://medium.com/@edgecast/how-cdns-can-adapt-to-the-cloud-computing-era-cd4c41513fde?source=search_post---------5,"[<time datetime=""2017-12-12T17:37:22.147Z"">Dec 12, 2017</time>]",2,0 responses,6 min read,NA,NA
Cloud Run as an internal async worker,Introduction,https://medium.com/@meteatamel,https://medium.com/google-cloud/cloud-run-as-an-internal-async-worker-480a772686e?source=search_post---------6,"[<time datetime=""2019-05-28T12:14:20.696Z"">May 28, 2019</time>]",46,1 response,5 min read,NA,NA
How to use BitKeep Cloud Wallet to make an internal transfer,-,https://medium.com/@bitkeepblog,https://medium.com/@bitkeepblog/how-to-use-bitkeep-cloud-wallet-to-make-an-internal-transfer-79771d2baedb?source=search_post---------7,"[<time datetime=""2021-11-08T09:28:35.044Z"">Nov 8, 2021</time>]",8,0 responses,2 min read,NA,NA
Distributed Teams — the Next Big Economic Sea-Change?,-,https://wtfeconomy.com/@joduinn,https://wtfeconomy.com/distributed-teams-the-next-big-economic-sea-change-14482d84fd75?source=search_post---------8,"[<time datetime=""2015-11-09T16:26:07.227Z"">Nov 9, 2015</time>]",118,6 responses,6 min read,NA,NA
Internal load balancing for kubernetes services on Google Cloud,-,https://medium.com/@betz.mark,https://medium.com/google-cloud/internal-load-balancing-for-kubernetes-services-on-google-cloud-f8aef11fb1c4?source=search_post---------9,"[<time datetime=""2018-03-11T22:32:39.968Z"">Mar 11, 2018</time>]",161,5 responses,3 min read,NA,NA
