title,subtitle,author_url,story_url,date,claps,responses,reading_time,tags,relatedUrl
How I’ve Attracted The First 500 Paid Users For My SaaS That Costs $5/mo,-,https://blog.inkdrop.app/@inkdrop,https://blog.inkdrop.app/how-ive-attracted-the-first-500-paid-users-for-my-saas-that-costs-5-mo-7a5b94b8e820?source=search_post---------0,"[<time datetime=""2018-10-14T23:31:38.312Z"">Oct 15, 2018</time>]",14.3K,66 responses,8 min read,"['docker', 'saas', 'cloud-computing', 'devops', 'tech', 'docker', 'saas', 'cloud-computing', 'devops', 'tech']","['https:\\u002F\\u002Fmedium.com\\u002Ffree-code-camp\\u002Fhow-to-know-if-kubernetes-is-right-for-your-saas-315dfffe0a25', 'https:\\u002F\\u002Fbootcamp.uxdesign.cc\\u002Fsick-of-jira-here-are-the-11-best-alternatives-f4f445d943b6', 'https:\\u002F\\u002Fmedium.com\\u002Fcapgemini-microsoft-team\\u002Fthe-pains-of-a-ms-dynamics-migration-d65b5fa7ca04', 'https:\\u002F\\u002Fmedium.com\\u002Fswlh\\u002Fbecome-a-better-healthier-developer-72c2038e8e62', 'https:\\u002F\\u002Fshekelator.medium.com\\u002Fmy-favorite-patterns-limiting-configuration-2322ea2cd88b', 'https:\\u002F\\u002Fmedium.com\\u002F@Andrew.Huang\\u002Fstory-points-in-agile-humans-are-bad-at-estimating-d1b6ac5652f0', 'https:\\u002F\\u002Fmedium.com\\u002Fbbc-design-engineering\\u002Fscaling-part-3-minimising-scaling-headaches-774664bee539', 'https:\\u002F\\u002Fmedium.com\\u002Fdistributed-knowledge\\u002Ftime-synchronization-in-distributed-systems-a21808928bc8', 'https:\\u002F\\u002Fmedium.com\\u002Fmapudo\\u002Fimproving-the-process-of-estimating-3d00c6a4df36', 'https:\\u002F\\u002Fmedium.com\\u002F@chris.d.holman\\u002Fcreate-a-qr-url-rewriter-in-aws-1445951fe094', 'https:\\u002F\\u002Fmedium.com\\u002Fjetty-product-engineering\\u002Fbuilding-integrations-with-serverless-in-an-event-driven-architecture-5a7fbe58b63e', 'https:\\u002F\\u002Fmedium.com\\u002F@nirmalnaveen\\u002Fintroduction-to-developer-tools-with-aws-279b5395a3ed', 'https:\\u002F\\u002Fmedium.com\\u002F@occamatic\\u002Fmigrating-data-between-two-aurora-mysql-instances-in-rds-using-aws-database-migration-service-dms-7d8836ad2867']"
The Epic Guide to Bootstrapping a SaaS Startup from Scratch — By Yourself (Part 1),-,https://blog.gettamboo.com/@cliffordoravec,https://blog.gettamboo.com/the-epic-guide-to-bootstrapping-a-saas-startup-from-scratch-by-yourself-part-1-4d834e1df8c1?source=search_post---------1,"[<time datetime=""2016-10-28T00:19:27.972Z"">Oct 28, 2016</time>]",6.6K,52 responses,17 min read,"['startup', 'php', 'programming', 'laravel', 'software-development', 'startup', 'php', 'programming', 'laravel', 'software-development']","['https:\\u002F\\u002Fmedium.com\\u002Fswlh\\u002Fshould-i-use-laravel-for-my-startup-or-saas-application-417833afcb13', 'https:\\u002F\\u002Fmedium.com\\u002F@pavan.baburao\\u002Fhow-to-scale-backend-239221fe7bb0', 'https:\\u002F\\u002Fmedium.com\\u002Fswlh\\u002Fthe-git-commands-every-software-engineer-should-know-part-1-f2b3ebf5c2cf', 'https:\\u002F\\u002Fbetterprogramming.pub\\u002Fcreate-a-graph-database-and-api-with-postgresql-and-node-js-d7bddcc00bbb', 'https:\\u002F\\u002Fmedium.com\\u002Fswlh\\u002Favoid-scrum-zombies-help-the-team-focus-on-the-sprint-goal-with-the-sprint-weather-report-a7a0781e0cc', 'https:\\u002F\\u002Fmedium.com\\u002Fexpedia-group-tech\\u002Fthe-impact-of-corporate-travel-policies-on-traveller-behaviour-78cec499d216', 'https:\\u002F\\u002Fblog.hiri.com\\u002Fthe-fundamentalist-foss-mentality-c70a953f2821', 'https:\\u002F\\u002Fmedium.com\\u002Fswlh\\u002Fan-efficient-framework-to-approach-system-design-problems-cf058f614a84', 'https:\\u002F\\u002Fjessicasalbert.medium.com\\u002Fup-up-away-designing-systems-that-scale-5d3850e116f', 'https:\\u002F\\u002Fmedium.com\\u002F@MarquesKevin\\u002Fhow-to-create-a-powerful-and-fast-website-with-wordpress-ffca9c235965', 'https:\\u002F\\u002Fchigozieorunta.medium.com\\u002Fsetting-up-a-php-codesniffer-for-wordpress-using-composer-vscode-cf44a4cafcf7', 'https:\\u002F\\u002Fmedium.com\\u002F@wpwebinfotech\\u002Fsymfony-vs-laravel-choosing-the-right-php-framework-4e41d55485ef', 'https:\\u002F\\u002Fmedium.com\\u002F@js.lyonnais\\u002Fit-dont-belong-in-database-wordpress-acf-2d7dd7bf628d']"
How I made a SaaS webservice earning $1000 monthly profit,-,https://medium.com/@moskovski,https://medium.com/hackernoon/how-i-made-a-saas-webservice-earning-1000-monthly-profit-6d2b782b95c8?source=search_post---------2,"[<time datetime=""2017-01-01T08:57:29.677Z"">Jan 1, 2017</time>]",2.1K,42 responses,8 min read,"['tech', 'startup', 'saas', 'customer-success', 'growth', 'tech', 'startup', 'saas', 'customer-success', 'growth']","['https:\\u002F\\u002Fpatrickbosteels.medium.com\\u002Fno-validation-results-in-high-failure-get-it-d6f5457463a0', 'https:\\u002F\\u002Fmedium.com\\u002F@thechrisrigoudis\\u002Fwhy-dont-we-know-how-to-escape-the-static-and-kill-our-business-in-the-meantime-57f0b920f9d6', 'https:\\u002F\\u002Fmedium.com\\u002F@conradkimball\\u002Fthe-realities-of-building-a-small-business-in-the-central-valley-ab965b41470f', 'https:\\u002F\\u002Fmedium.com\\u002F@aishwaryasajan12\\u002Fhassle-free-payouts-bulk-payouts-using-powerful-apis-91b032037ba0', 'https:\\u002F\\u002Fmedium.com\\u002Fpi-labs-notes\\u002Fcelebrating-women-in-proptech-bd2f134ce3d0', 'https:\\u002F\\u002Fdanmartell.medium.com\\u002F8-brilliant-customer-success-tools-to-dial-in-your-revenue-retention-process-f872ea763356', 'https:\\u002F\\u002Fmattstuddert.medium.com\\u002Five-gone-full-time-on-my-side-project-4f0d51766ec', 'https:\\u002F\\u002F360leaders.medium.com\\u002F360leaders-promotes-madeleine-astell-to-consultant-for-the-nordic-region-56d174991399', 'https:\\u002F\\u002Fthinkgrowth.org\\u002Fthe-saas-founders-playbook-for-customer-success-f9c77f916e52']"
How I built a profitable SaaS web app: from idea to first sales,-,https://medium.com/@moskovski,https://medium.com/hackernoon/how-i-built-a-profitable-saas-web-app-from-idea-to-first-sales-782efb19d900?source=search_post---------3,"[<time datetime=""2017-09-06T09:34:21.719Z"">Sep 6, 2017</time>]",7.6K,43 responses,7 min read,"['saas', 'business', 'entrepreneurship', 'startup', 'tech', 'saas', 'business', 'entrepreneurship', 'startup', 'tech']","['https:\\u002F\\u002Fmedium.com\\u002Ffree-code-camp\\u002Fhow-to-build-and-scale-your-saas-billing-solution-d6111b9ae253', 'https:\\u002F\\u002Fhkdemircan.medium.com\\u002Fjava8-optional-4d26524141e6', 'https:\\u002F\\u002Fplanetcrust.medium.com\\u002Fcrust-technology-rebrands-as-planet-crust-b0dc9de4b969', 'https:\\u002F\\u002Fmedium.com\\u002F@matanabravanel\\u002Fios-vs-android-app-architecture-similarities-5f91cc7d4296', 'https:\\u002F\\u002Fmedium.com\\u002F@rehana.saba18\\u002Fseaborn-must-known-function-f080b19cd88c', 'https:\\u002F\\u002Fmedium.com\\u002Fdisney-streaming\\u002Fthis-week-in-scala-jun-22-2020-d6f3ab232184', 'https:\\u002F\\u002Fmedium.com\\u002F@vl.vit2807\\u002Fblocto-app-3c1e7ce669be', 'https:\\u002F\\u002Fropikari.medium.com\\u002F%E5%93%86%E5%95%A6a%E6%A2%A6%E4%BC%B4%E6%88%91%E5%90%8C%E8%A1%8C2-stand-by-me-%E5%AE%8C%E6%95%B4%E7%89%88-%E5%AE%8C%E6%95%B4%E7%89%88%E5%AE%8C%E6%95%B4%E7%89%88-2020-7711922d9faf', 'https:\\u002F\\u002Fmedium.com\\u002Fnerd-for-tech\\u002Fprinting-hello-world-without-a-semicolon-in-c-c-21f00d2a3da', 'https:\\u002F\\u002Fsubrahmanyam-plugxr.medium.com\\u002Fhow-to-develop-augmented-reality-apps-in-simple-steps-4cdd35bb904f', 'https:\\u002F\\u002Fmedium.com\\u002F@mobileappdevelopmentcanada\\u002Fhow-to-choose-right-technology-stack-for-your-mobile-app-8103230b32b', 'https:\\u002F\\u002Fmedium.com\\u002F@subairsheriff\\u002Fhow-to-achieve-radical-differentiation-without-creating-a-category-839680f242e', 'https:\\u002F\\u002Fsweetsoft7.medium.com\\u002Fhow-can-no-code-help-your-startup-1474ffb7ccd5']"
How to build a SaaS with $0,-,https://medium.com/@ipdata_co,https://medium.com/hackernoon/how-to-build-a-saas-with-0-fed2341078c8?source=search_post---------4,"[<time datetime=""2018-03-15T16:36:55.076Z"">Mar 15, 2018</time>]",8K,29 responses,9 min read,"['saas', 'saasboomi', 'indian-startups', 'b2b', 'chennai', 'saas', 'saasboomi', 'indian-startups', 'b2b', 'chennai']","['https:\\u002F\\u002Fmedium.com\\u002Fsaasboomi\\u002Fsaas-indias-sunrise-industry-of-the-2020s-68138d78edfd', 'https:\\u002F\\u002Fmedium.com\\u002Fdawn-capital\\u002Ffound-in-translation-why-we-invested-in-lokalise-eced8730a07e', 'https:\\u002F\\u002Fmyfriendjanine.medium.com\\u002Fdeals-are-big-and-the-venture-capital-dollars-are-everywhere-965d04d4bb31', 'https:\\u002F\\u002Fvipgraphics.medium.com\\u002Fladders-100m-pitch-deck-the-crown-jewel-of-insurtech-9e169883c01d', 'https:\\u002F\\u002Fconnectventures.medium.com\\u002Fconnect-spotlight-magicbell-2d6057170dbb', 'https:\\u002F\\u002Fmedium.com\\u002Finstant-sponsor\\u002Falibaba-enters-the-sports-marketplace-16b7e66bdbf8', 'https:\\u002F\\u002Fanalystpeter.medium.com\\u002Fhave-we-reached-rock-bottom-yet-week-5-update-bd2e8b7643de', 'https:\\u002F\\u002Fmedium.com\\u002F@r.haque.emdl\\u002F5-mistakes-not-to-make-in-a-new-business-9fbea2b15499', 'https:\\u002F\\u002Fmedium.com\\u002F@vivianxiao_85294\\u002Fpizza-hut-be-unique-ceb918a6066e', 'https:\\u002F\\u002Fmedium.com\\u002F@themeum\\u002Fhow-to-increase-the-value-of-your-ecommerce-business-a5dc89e820f', 'https:\\u002F\\u002Fmedium.com\\u002Fweza-ventures\\u002Ftypes-of-lending-platforms-by-fintechs-aba79e45db2', 'https:\\u002F\\u002Fmedium.com\\u002Fmagento-magicians\\u002Fb2b-in-2017-a0456576352e', 'https:\\u002F\\u002Fmedium.com\\u002F@Renaissanceinnovationlabs\\u002Ftop-world-tech-companies-valuations-278c2b0606a5']"
"10 Startup Marketing Lessons From 1,000 Days At A Venture-Funded SaaS",-,https://medium.com/@MarkoSaric,https://medium.com/swlh/startup-marketing-lessons-e06135e62254?source=search_post---------5,"[<time datetime=""2018-10-13T15:15:31.882Z"">Oct 13, 2018</time>]",6.2K,37 responses,12 min read,"['saas', 'startup', 'entrepreneurship', 'saas', 'startup', 'entrepreneurship']","['https:\\u002F\\u002Fmedium.com\\u002Fpoint-nine-news\\u002Fsaas-three-checklists-to-chose-your-sales-model-17da9680df4b', 'https:\\u002F\\u002Fmedium.com\\u002F@dgillespie_irl\\u002Fthe-dangers-of-growth-with-jason-sherman-c75312043a33', 'https:\\u002F\\u002Fsaravananparisutham.medium.com\\u002Feverything-about-closing-series-a-investment-for-trustrace-600ad7c3ed16', 'https:\\u002F\\u002Fmedium.com\\u002Fvietneer\\u002Fstory-of-beeketing-a-vietnamese-origin-tech-startup-part-1-61335ebd1528', 'https:\\u002F\\u002Fmedium.com\\u002Ftorre-capital\\u002Fupcoming-india-unicorns-e-commerce-startups-with-a-potential-for-billion-dollar-valuation-b561844d6a1e']"
"Growing Our SaaS Company To $1M+ ARR: 7 People, 3 Years, No VC Money. Key Lessons Learned",-,https://medium.com/@citizenblr,https://medium.com/everhour/growing-our-saas-company-to-1m-arr-7-people-3-years-no-vc-money-key-lessons-learned-2d53766507d2?source=search_post---------6,"[<time datetime=""2018-09-28T10:02:23.577Z"">Sep 28, 2018</time>]",5.6K,37 responses,5 min read,"['saas', 'earnings', 'cloud', 'enterprise-software', 'venture-capital', 'saas', 'earnings', 'cloud', 'enterprise-software', 'venture-capital']","['https:\\u002F\\u002Fmedium.com\\u002Fredpoint-ventures\\u002Fa-look-back-at-q1-public-saas-earnings-e392a7f6f4f8', 'https:\\u002F\\u002Fmedium.com\\u002F@mestorninho\\u002Fthe-black-friday-revolution-bb39e240a6f', 'https:\\u002F\\u002Fdanielxli.medium.com\\u002Fthe-dl-an-inside-view-into-pacific-northwest-tech-7cf358ec58c1', 'https:\\u002F\\u002Fmedium.com\\u002Fthemeetgroup\\u002Fwhat-it-will-take-to-claim-the-european-live-streaming-market-db519c02e969', 'https:\\u002F\\u002Fmedium.com\\u002Foptimetriks-blog\\u002Fhow-to-break-into-africa-hallmarks-of-success-highlighted-by-the-bcg-18f5eab248ab', 'https:\\u002F\\u002Faxonnetworks.medium.com\\u002Fhas-pandemic-accelerated-the-digital-transformation-491b89c9aa86', 'https:\\u002F\\u002Fmedium.com\\u002F@letsveer\\u002Ffashion-media-tycoons-vr-exploration-ec75674c084f', 'https:\\u002F\\u002Fmedium.com\\u002F@backscoop\\u002Flogistics-startup-ninja-van-is-now-southeast-asias-newest-unicorn-after-a-fresh-578m-series-e-8f2834678361', 'https:\\u002F\\u002Fcommercevc.medium.com\\u002Fthe-retail-fintech-collision-why-were-excited-to-work-with-daniel-eckert-3baaf2079354', 'https:\\u002F\\u002Fmedium.com\\u002Fdawn-capital\\u002Fexciting-promotions-within-our-dawn-family-as-henry-mason-makes-partner-f42ec47f552', 'https:\\u002F\\u002Fmedium.com\\u002Fnauta-capital\\u002Fapi-first-make-backend-great-again-or-why-we-invested-in-treblle-341da0693419', 'https:\\u002F\\u002Fmedium.com\\u002Filluminate-financial\\u002Four-investment-in-profian-securing-workloads-in-the-cloud-eec79ad1c9ca', 'https:\\u002F\\u002Fmedium.com\\u002F@anupamacharya\\u002Fthresholds-of-indifference-67d7b31cdf56']"
I used LAMP to make a SaaS with $3700/mo profit. Here’s how.,-,https://medium.com/@moskovski,https://medium.com/hackernoon/i-used-lamp-to-make-a-saas-with-3700-mo-profit-heres-how-1c47033900e9?source=search_post---------7,"[<time datetime=""2017-02-12T07:17:53.505Z"">Feb 12, 2017</time>]",1.3K,22 responses,11 min read,"['saas', 'startup', 'marketing-strategies', 'saas', 'startup', 'marketing-strategies']","['https:\\u002F\\u002Fmedium.com\\u002Fhackernoon\\u002Fthe-next-era-of-saas-growth-the-go-to-customer-strategy-6d9c55fc488b', 'https:\\u002F\\u002Fmedium.com\\u002Famberengine\\u002Fderric-haynie-explains-how-brands-leverage-new-e-com-technology-92025fc69464', 'https:\\u002F\\u002Fzachonlinkedin.medium.com\\u002Fwhat-is-metrics-driven-marketing-e18a04bdc809', 'https:\\u002F\\u002Fmedium.com\\u002F3veta\\u002Fmeet-the-team-iliya-co-founder-head-of-marketing-ca98ebce4bd4', 'https:\\u002F\\u002Falexanderlhk.medium.com\\u002Fbuilding-a-long-lasting-startup-cd926926ded6']"
What Comes After SaaS?,-,https://medium.com/@njess,https://medium.com/hackernoon/what-comes-after-saas-1f71ec40de45?source=search_post---------8,"[<time datetime=""2017-05-24T14:25:14.412Z"">May 24, 2017</time>]",1.2K,26 responses,8 min read,"['saas', 'ux-writing', 'copywriting', 'ux-design', 'microcopy', 'saas', 'ux-writing', 'copywriting', 'ux-design', 'microcopy']","['https:\\u002F\\u002Fuxplanet.org\\u002Fweb-mobile-ui-ux-dribbble-shots-1-6a2d94dd06e3', 'https:\\u002F\\u002Fmedium.com\\u002F@sheaahancock\\u002Facc-library-website-redesign-86234ec2e50b', 'https:\\u002F\\u002Fblog.prototypr.io\\u002Fthe-ethics-behind-defaults-31caec90bc6a', 'https:\\u002F\\u002Fmedium.com\\u002Fwe-are-colorblind\\u002Fdesigning-with-the-colorblind-in-mind-will-improve-your-design-for-everyone-5c25ecfcde64', 'https:\\u002F\\u002Fmedium.com\\u002F@ambiesboer\\u002Fa-nerds-guide-to-wedding-planning-as-a-data-rich-experience-79c587084259', 'https:\\u002F\\u002Fmodus.medium.com\\u002Fa-designers-secret-weapons-plugins-and-tools-of-the-trade-ea8b0d348c5', 'https:\\u002F\\u002Fuxdesign.cc\\u002Ffour-things-a-career-in-visual-effects-taught-me-about-product-design-ad1e06b19072', 'https:\\u002F\\u002Fmedium.com\\u002F@MelanieBrouste\\u002Fhow-to-build-your-website-in-just-a-few-minutes-infographic-acf63346d1ee', 'https:\\u002F\\u002Fblog.prototypr.io\\u002Fhow-saas-disrupted-copywriting-9d516246ffc7']"
Five things I learned building a Saas App with Vue.js,-,https://medium.com/@tim_nolet,https://medium.com/hackernoon/five-things-i-learned-building-a-saas-app-with-vue-js-90b6a5acd275?source=search_post---------9,"[<time datetime=""2018-02-17T18:02:24.844Z"">Feb 17, 2018</time>]",4.6K,12 responses,8 min read,"['startup', 'saas', 'analytics', 'startup', 'saas', 'analytics']","['https:\\u002F\\u002Fmedium.com\\u002Fplainflow\\u002Fthe-next-generation-of-saas-wont-optimize-for-user-engagement-9092d3e8130d', 'https:\\u002F\\u002Fmedium.com\\u002Fheadsup-plg\\u002Fhow-to-use-product-data-to-empower-sales-in-your-saas-company-9c311cf5d5b9', 'https:\\u002F\\u002Fserraavan.medium.com\\u002F5-nps-best-practices-for-b2b-saas-ee53d852eb5f', 'https:\\u002F\\u002Fictscustomsoftware.medium.com\\u002F5-ingredients-of-a-successful-digital-transformation-strategy-43fc2ae8c560', 'https:\\u002F\\u002Fmedium.com\\u002F@testbox\\u002Fthe-best-customer-support-platforms-for-software-and-saas-companies-e1f8b378776b', 'https:\\u002F\\u002Ftechykhushi.medium.com\\u002Fhow-to-use-importrange-function-in-google-sheet-44bb14bf5b80', 'https:\\u002F\\u002Ffredgrott.medium.com\\u002Fwriting-to-win-as-a-developer-on-medium-7cbf1b79d7f', 'https:\\u002F\\u002Fmedium.com\\u002Fpragmatic-programmers\\u002Fhow-to-help-the-turtle-escape-7b8866e38115', 'https:\\u002F\\u002Fmedium.datadriveninvestor.com\\u002Fgetting-started-with-jenkins-ci-cd-part-1-a20a8dd502aa', 'https:\\u002F\\u002Fmedium.com\\u002F@upGrad\\u002Fapache-storm-overview-what-is-architecture-reasons-to-use-c4251da0f09', 'https:\\u002F\\u002Flevelup.gitconnected.com\\u002Fmake-deployment-easy-with-continuous-delivery-and-github-action-f5dde92468a1', 'https:\\u002F\\u002Fmedium.com\\u002Fpragmatic-programmers\\u002Fembody-understanding-fa91da261103', 'https:\\u002F\\u002Fmedium.com\\u002Fswlh\\u002Fhtml-audio-tag-4b8ee9cb3cd7']"
